USDINR Curncy,Last Price
Dates,PX_LAST
40205,46.365
40206,46.3587
40207,46.1782
40210,46.375
40211,46.235
40212,45.9775
40213,46.2538
40214,46.7425
40217,46.8112
40218,46.6681
40219,46.4869
40220,46.5
40224,46.325
40225,46.2125
40226,46.115
40227,46.2713
40228,46.3056
40231,46.2156
40232,46.24
40233,46.3437
40234,46.4138
40235,46.085
40239,46.0088
40240,45.8363
40241,45.815
40242,45.615
40245,45.5325
40246,45.635
40247,45.3638
40248,45.6113
40249,45.445
40252,45.5888
40254,45.355
40255,45.4544
40256,45.4966
40259,45.595
40260,45.595
40262,45.515
40263,45.24
40266,44.9744
40267,45.075
40268,44.9175
40273,44.445
40274,44.455
40275,44.545
40276,44.465
40277,44.2938
40280,44.455
40281,44.4738
40283,44.4388
40284,44.33
40287,44.7313
40288,44.5063
40289,44.555
40290,44.5456
40291,44.4363
40294,44.395
40295,44.445
40296,44.6475
40297,44.52
40298,44.365
40301,44.5256
40302,44.625
40303,44.9363
40304,45.3063
40305,45.4775
40308,44.8588
40309,45.295
40310,45.1106
40311,45.0775
40312,45.205
40315,45.63
40316,45.5863
40317,46.3688
40318,46.8175
40319,46.9244
40322,46.9763
40323,47.6963
40324,47.31
40326,46.355
40329,46.3675
40330,47.1575
40331,46.985
40332,46.695
40333,46.845
40336,47.095
40337,46.945
40338,47.025
40339,46.97
40340,46.845
40343,46.4913
40344,46.5675
40345,46.5569
40346,46.315
40347,46.1744
40350,45.7544
40351,46.245
40352,46.1875
40353,46.4863
40354,46.29
40357,46.2125
40358,46.485
40359,46.45
40360,46.575
40361,46.7856
40364,46.78
40365,46.9063
40366,47.035
40367,46.865
40368,46.6644
40371,46.78
40372,46.78
40373,46.6981
40374,46.605
40375,46.7725
40378,47.125
40379,47.3638
40380,47.1669
40381,47.1275
40382,46.945
40385,47.0475
40386,46.675
40387,46.7663
40388,46.5406
40389,46.4075
40392,46.25
40393,46.1725
40394,46.165
40395,46.185
40396,46.16
40399,46.1325
40400,46.3975
40401,46.6975
40402,46.78
40403,46.765
40406,46.8025
40407,46.6463
40408,46.575
40410,46.675
40413,46.6475
40414,46.9163
