"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 17, 2018","10,791.80","10,704.75","10,805.25","10,665.35","10.27M","0.77%"
"Jan 16, 2018","10,709.55","10,754.00","10,759.00","10,691.05","9.15M","-0.31%"
"Jan 15, 2018","10,743.30","10,720.00","10,774.00","10,711.25","8.25M","0.53%"
"Jan 12, 2018","10,686.35","10,689.65","10,695.00","10,602.30","10.95M","0.30%"
"Jan 11, 2018","10,654.05","10,629.95","10,682.35","10,615.50","7.32M","0.16%"
"Jan 10, 2018","10,637.05","10,643.95","10,648.00","10,596.60","7.06M","-0.09%"
"Jan 09, 2018","10,646.90","10,645.15","10,656.95","10,612.25","6.61M","0.15%"
"Jan 08, 2018","10,631.40","10,623.15","10,639.90","10,604.45","5.76M","0.55%"
"Jan 05, 2018","10,573.20","10,550.00","10,582.00","10,536.50","6.90M","0.45%"
"Jan 04, 2018","10,526.20","10,498.25","10,536.75","10,463.35","6.84M","0.54%"
"Jan 03, 2018","10,469.40","10,490.25","10,543.40","10,456.55","9.16M","-0.03%"
"Jan 02, 2018","10,472.20","10,521.15","10,524.00","10,436.50","9.31M","-0.25%"
"Jan 01, 2018","10,498.70","10,540.00","10,556.50","10,483.35","7.65M","-0.55%"
"Dec 29, 2017","10,556.90","10,501.65","10,568.00","10,469.00","8.03M","0.75%"
"Dec 28, 2017","10,477.90","10,509.00","10,540.45","10,474.10","16.40M","-0.21%"
"Dec 27, 2017","10,500.20","10,529.00","10,566.00","10,476.30","11.66M","-0.24%"
"Dec 26, 2017","10,525.95","10,506.05","10,537.85","10,496.60","7.29M","0.20%"
"Dec 22, 2017","10,505.45","10,460.10","10,514.70","10,456.00","8.56M","0.41%"
"Dec 21, 2017","10,462.45","10,470.40","10,485.00","10,442.95","6.89M","-0.07%"
"Dec 20, 2017","10,470.15","10,472.00","10,504.55","10,447.65","8.36M","-0.01%"
"Dec 19, 2017","10,470.95","10,425.05","10,476.00","10,412.25","7.72M","0.64%"
"Dec 18, 2017","10,404.35","10,201.25","10,459.85","10,060.00","23.53M","0.43%"
"Dec 15, 2017","10,359.50","10,363.85","10,400.00","10,343.00","10.28M","0.81%"
"Dec 14, 2017","10,276.10","10,259.80","10,296.95","10,163.30","11.24M","0.60%"
"Dec 13, 2017","10,215.20","10,240.90","10,332.75","10,190.10","12.37M","-0.48%"
"Dec 12, 2017","10,264.50","10,332.90","10,337.45","10,254.15","6.48M","-0.79%"
"Dec 11, 2017","10,346.40","10,317.90","10,354.35","10,302.20","6.21M","0.53%"
"Dec 08, 2017","10,291.65","10,220.50","10,297.95","10,211.25","8.63M","0.87%"
"Dec 07, 2017","10,202.95","10,080.00","10,218.15","10,079.00","10.18M","1.33%"
"Dec 06, 2017","10,068.65","10,111.40","10,126.85","10,052.65","9.84M","-0.77%"
"Dec 05, 2017","10,146.70","10,126.35","10,179.75","10,091.45","9.77M","-0.12%"
"Dec 04, 2017","10,159.25","10,167.75","10,198.00","10,126.55","8.49M","0.05%"
"Dec 01, 2017","10,154.25","10,289.00","10,308.45","10,138.05","12.14M","-0.71%"
"Nov 30, 2017","10,226.55","10,321.20","10,324.00","10,216.50","13.86M","-1.29%"
"Nov 29, 2017","10,360.70","10,398.40","10,410.40","10,340.35","7.42M","-0.16%"
"Nov 28, 2017","10,377.55","10,391.00","10,428.00","10,360.20","7.03M","-0.39%"
"Nov 27, 2017","10,418.50","10,380.05","10,425.50","10,353.00","8.27M","0.09%"
"Nov 24, 2017","10,409.35","10,366.25","10,424.00","10,366.25","7.02M","0.41%"
"Nov 23, 2017","10,366.65","10,368.40","10,389.00","10,310.10","7.52M","0.08%"
"Nov 22, 2017","10,357.95","10,383.30","10,388.00","10,321.00","6.30M","0.06%"
"Nov 21, 2017","10,351.90","10,348.80","10,389.45","10,337.45","6.58M","0.31%"
"Nov 20, 2017","10,320.05","10,297.65","10,342.00","10,276.80","4.95M","0.11%"
"Nov 17, 2017","10,308.85","10,344.80","10,373.25","10,292.75","9.11M","0.57%"
"Nov 16, 2017","10,250.90","10,174.00","10,265.00","10,162.00","8.79M","0.95%"
"Nov 15, 2017","10,154.35","10,199.90","10,207.75","10,125.40","9.25M","-0.77%"
"Nov 14, 2017","10,233.60","10,259.75","10,278.00","10,225.10","8.24M","-0.35%"
"Nov 13, 2017","10,269.40","10,342.50","10,354.00","10,259.05","7.78M","-0.63%"
"Nov 10, 2017","10,334.00","10,341.25","10,379.50","10,284.00","9.39M","-0.27%"
"Nov 09, 2017","10,361.80","10,385.65","10,399.95","10,303.00","8.90M","0.07%"
"Nov 08, 2017","10,354.90","10,410.05","10,422.65","10,333.30","8.36M","-0.53%"
"Nov 07, 2017","10,409.90","10,505.10","10,515.00","10,381.10","13.46M","-0.76%"
"Nov 06, 2017","10,489.55","10,452.60","10,530.00","10,441.50","6.34M","0.03%"
"Nov 03, 2017","10,486.80","10,469.70","10,492.90","10,425.05","5.49M","0.30%"
"Nov 02, 2017","10,455.00","10,459.00","10,472.75","10,433.00","5.04M","-0.21%"
